ID,Class,Lable,Name,Status_1,Status_2
297,device,Ma_displacement_actuator,Ma_displacement_actuator_10_2,step_length,
298,device,Ma_displacement_actuator,Ma_displacement_actuator_10_3,step_length,
299,device,Ma_displacement_actuator,Ma_displacement_actuator_11_1,step_length,
300,device,Ma_displacement_actuator,Ma_displacement_actuator_11_2,step_length,
301,device,Ma_displacement_actuator,Ma_displacement_actuator_11_3,step_length,
302,device,Ma_displacement_actuator,Ma_displacement_actuator_12_1,step_length,
303,device,Ma_displacement_actuator,Ma_displacement_actuator_12_2,step_length,
304,device,Ma_displacement_actuator,Ma_displacement_actuator_12_3,step_length,
305,device,Ma_displacement_actuator,Ma_displacement_actuator_13_1,step_length,
306,device,Ma_displacement_actuator,Ma_displacement_actuator_13_2,step_length,
307,device,Ma_displacement_actuator,Ma_displacement_actuator_13_3,step_length,
308,device,Ma_displacement_actuator,Ma_displacement_actuator_14_1,step_length,
309,device,Ma_displacement_actuator,Ma_displacement_actuator_14_2,step_length,
310,device,Ma_displacement_actuator,Ma_displacement_actuator_14_3,step_length,
311,device,Ma_displacement_actuator,Ma_displacement_actuator_15_1,step_length,
312,device,Ma_displacement_actuator,Ma_displacement_actuator_15_2,step_length,
313,device,Ma_displacement_actuator,Ma_displacement_actuator_15_3,step_length,
314,device,Ma_displacement_actuator,Ma_displacement_actuator_16_1,step_length,
315,device,Ma_displacement_actuator,Ma_displacement_actuator_16_2,step_length,
316,device,Ma_displacement_actuator,Ma_displacement_actuator_16_3,step_length,
317,device,Ma_displacement_actuator,Ma_displacement_actuator_17_1,step_length,
318,device,Ma_displacement_actuator,Ma_displacement_actuator_17_2,step_length,
319,device,Ma_displacement_actuator,Ma_displacement_actuator_17_3,step_length,
320,device,Ma_displacement_actuator,Ma_displacement_actuator_18_1,step_length,
321,device,Ma_displacement_actuator,Ma_displacement_actuator_18_2,step_length,
322,device,Ma_displacement_actuator,Ma_displacement_actuator_18_3,step_length,
323,device,Ma_displacement_actuator,Ma_displacement_actuator_19_1,step_length,
324,device,Ma_displacement_actuator,Ma_displacement_actuator_19_2,step_length,
325,device,Ma_displacement_actuator,Ma_displacement_actuator_19_3,step_length,
326,device,Ma_displacement_actuator,Ma_displacement_actuator_20_1,step_length,
327,device,Ma_displacement_actuator,Ma_displacement_actuator_20_2,step_length,
328,device,Ma_displacement_actuator,Ma_displacement_actuator_20_3,step_length,
329,device,Ma_displacement_actuator,Ma_displacement_actuator_21_1,step_length,
330,device,Ma_displacement_actuator,Ma_displacement_actuator_21_2,step_length,
331,device,Ma_displacement_actuator,Ma_displacement_actuator_21_3,step_length,
332,device,Ma_displacement_actuator,Ma_displacement_actuator_22_1,step_length,
333,device,Ma_displacement_actuator,Ma_displacement_actuator_22_2,step_length,
334,device,Ma_displacement_actuator,Ma_displacement_actuator_22_3,step_length,
335,device,Ma_displacement_actuator,Ma_displacement_actuator_23_1,step_length,
336,device,Ma_displacement_actuator,Ma_displacement_actuator_23_2,step_length,
337,device,Ma_displacement_actuator,Ma_displacement_actuator_23_3,step_length,
338,device,Ma_displacement_actuator,Ma_displacement_actuator_24_1,step_length,
339,device,Ma_displacement_actuator,Ma_displacement_actuator_24_2,step_length,
340,device,Ma_displacement_actuator,Ma_displacement_actuator_24_3,step_length,
341,device,Mb_displacement_actuator,Mb_displacement_actuator_01_1,step_length,
342,device,Mb_displacement_actuator,Mb_displacement_actuator_01_2,step_length,
343,device,Mb_displacement_actuator,Mb_displacement_actuator_01_3,step_length,
344,device,Mb_displacement_actuator,Mb_displacement_actuator_02_1,step_length,
